BirdID,TripID,Displacement,Length,Duration,NumDives,AverageMaxDiveDepth,MaxDiveDepth,AverageDiveDuration,MaxDiveDuration,TotalDurationDives,Year,Sex,Weight
280.00000000,2.00000000,114.27347120,524.29831648,102216.00000000,18.00000000,3.51122282,5.30252429,3.11111111,5.00000000,56.00000000,2013.00000000,0.00000000,3400.00000000
281.00000000,1.00000000,219.22333679,797.00858396,146408.00000000,28.00000000,3.11887487,5.01700375,3.17857143,13.00000000,89.00000000,2013.00000000,0.00000000,2600.00000000
282.00000000,1.00000000,72.60563383,203.65188117,48616.00000000,3.00000000,1.75051283,1.93746080,1.00000000,1.00000000,3.00000000,2013.00000000,0.00000000,2950.00000000
282.00000000,2.00000000,70.05839664,174.96834664,41461.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,2950.00000000
283.00000000,1.00000000,237.07011691,822.89603525,142903.00000000,19.00000000,3.30066036,6.69953550,4.78947368,14.00000000,91.00000000,2013.00000000,1.00000000,2900.00000000
284.00000000,1.00000000,104.19926769,333.42420648,58032.00000000,7.00000000,3.90259961,4.45615984,1.78571429,2.70000000,12.50000000,2013.00000000,0.00000000,2900.00000000
286.00000000,1.00000000,68.97416626,241.26597023,82510.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,2900.00000000
287.00000000,1.00000000,80.54862926,248.99206187,64175.00000000,6.00000000,5.70361267,12.83822708,14.43333333,39.10000000,86.60000000,2013.00000000,1.00000000,3400.00000000
290.00000000,1.00000000,176.92316901,754.80431974,108931.00000000,36.00000000,7.03490883,9.23862886,4.46666667,7.90000000,160.80000000,2013.00000000,1.00000000,2950.00000000
290.00000000,2.00000000,106.02800880,364.27047994,76334.00000000,29.00000000,5.69177458,7.06663334,2.86551724,4.30000000,83.10000000,2013.00000000,1.00000000,2950.00000000
290.00000000,3.00000000,113.11615323,185.31018583,36208.00000000,67.00000000,6.01556466,8.59620765,3.09402985,5.10000000,207.30000000,2013.00000000,1.00000000,2950.00000000
297.00000000,1.00000000,197.52345360,568.66367559,101193.00000000,42.00000000,6.54439296,9.04488278,4.24285714,12.70000000,178.20000000,2013.00000000,1.00000000,3150.00000000
297.00000000,2.00000000,137.64036597,418.43700974,90114.00000000,55.00000000,4.61078590,6.55677523,2.33636364,6.30000000,128.50000000,2013.00000000,1.00000000,3150.00000000
297.00000000,3.00000000,147.08081448,176.61827368,15682.00000000,4.00000000,4.10690704,4.39497687,2.00000000,2.30000000,8.00000000,2013.00000000,1.00000000,3150.00000000
298.00000000,1.00000000,268.34924790,731.63908216,98925.00000000,39.00000000,5.29311153,10.63564007,6.48461538,19.90000000,252.90000000,2013.00000000,1.00000000,2800.00000000
298.00000000,2.00000000,197.38253400,279.33334737,75003.00000000,102.00000000,4.68779537,13.88853478,4.37450980,20.70000000,446.20000000,2013.00000000,1.00000000,2800.00000000
299.00000000,1.00000000,190.00753821,704.54247375,104843.00000000,92.00000000,7.74175197,10.51327413,4.42608696,9.90000000,407.20000000,2013.00000000,1.00000000,3100.00000000
299.00000000,2.00000000,188.67767815,598.99785832,101735.00000000,81.00000000,7.21128197,9.36099481,3.87530864,10.70000000,313.90000000,2013.00000000,1.00000000,3100.00000000
997.00000000,1.00000000,125.35903560,408.34126857,78862.00000000,27.00000000,3.98104762,5.98573415,1.79629630,3.50000000,48.50000000,2013.00000000,0.00000000,NaN
998.00000000,1.00000000,46.48015535,120.47345745,17931.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,NaN
998.00000000,2.00000000,55.37957216,132.97907363,14593.00000000,5.00000000,5.41265364,7.96398360,1.58000000,2.30000000,7.90000000,2013.00000000,1.00000000,NaN
998.00000000,3.00000000,170.47463305,299.20561699,65267.00000000,23.00000000,4.51024913,9.10606576,3.95217391,29.50000000,90.90000000,2013.00000000,1.00000000,NaN
999.00000000,1.00000000,90.31005434,252.74647041,57933.00000000,9.00000000,1.98957963,2.83481106,1.67777778,3.90000000,15.10000000,2013.00000000,0.00000000,NaN
999.00000000,2.00000000,78.14985327,134.03253821,18243.00000000,27.00000000,2.73888221,4.36438538,2.47777778,3.90000000,66.90000000,2013.00000000,0.00000000,NaN
